discountoffer,total_products,avg_rating,total_reviews
"No Offer",74306,1.11,1163773
"50% OFF",52737,1.71,1459658
"60% OFF",38285,1.96,1373290
"40% OFF",27348,1.81,584962
"20% OFF",25561,0.69,141312
"55% OFF",25154,2,1050298
"30% OFF",22433,1.07,207585
"65% OFF",20850,2.05,684558
"70% OFF",20367,1.77,543289
"45% OFF",15658,2.11,579268
"35% OFF",14800,1.68,269918
"25% OFF",12949,1.13,120089
"10% OFF",10153,1.01,100347
"75% OFF",9060,1.92,234512
"15% OFF",8290,0.96,63712
"78% OFF",6061,0.22,11981
"74% OFF",5464,0.4,19290
"57% OFF",5157,1.64,153897
"67% OFF",5006,1.28,75189
"63% OFF",4916,1.55,138850
"62% OFF",4914,1.74,128873
"68% OFF",4854,0.93,57328
"58% OFF",4751,1.85,174663
"64% OFF",3998,1.73,110908
"59% OFF",3893,1.71,121055
"61% OFF",3811,1.65,125187
"66% OFF",3742,1.49,88487
"80% OFF",3738,0.61,26785
"52% OFF",3248,1.78,100809
"69% OFF",3135,1.05,40300
"5% OFF",3121,1.55,74699
"56% OFF",3032,1.6,93683
"72% OFF",2921,1.05,30459
"53% OFF",2812,2.08,148399
"71% OFF",2796,1.11,35589
"51% OFF",2704,1.43,74934
"73% OFF",2509,1.13,30131
"54% OFF",2154,1.75,64388
"1% OFF",2138,1.77,39242
"47% OFF",2066,1.66,67442
"76% OFF",1865,0.78,13804
"48% OFF",1785,1.95,80689
"70% OFF, Hurry*",1758,3.95,137782
"36% OFF",1682,1.39,22107
"77% OFF",1624,0.85,12410
"31% OFF",1593,1.5,26244
"60% OFF, Hurry*",1569,3.51,141585
"41% OFF",1384,1.29,20864
"42% OFF",1359,1.67,28993
"46% OFF",1280,1.3,22121
"49% OFF",1230,1.43,29177
"12% OFF",1053,0.52,3681
"44% OFF",1028,1.42,21976
"38% OFF",1013,1.64,20145
"43% OFF",946,1.98,31317
"83% OFF",913,0.21,1124
"Rs. 500 OFF",892,0.95,21756
"Rs. 1100 OFF",798,0.99,8910
"37% OFF",757,1.53,15190
"79% OFF",757,1.13,12325
"81% OFF",718,0.77,5511
"29% OFF",713,0.83,6351
"33% OFF",687,1.11,12643
"Rs. 600 OFF",661,1.05,12285
" 60 % OFF",651,4.05,62624
"28% OFF",613,0.7,3547
"39% OFF",593,1.93,17482
"Rs. 700 OFF",591,0.96,5153
"Rs. 300 OFF",584,1.53,19563
"23% OFF",562,0.53,4230
"Rs. 1000 OFF",560,1.11,7175
"Rs. 800 OFF",558,1.17,9181
"Rs. 200 OFF",553,0.91,6490
"34% OFF",538,1.68,12662
"82% OFF",528,0.56,3750
"Rs. 900 OFF",520,0.94,8927
"16% OFF",520,1.4,5403
" 40 % OFF",516,3.47,28469
"21% OFF",514,0.71,2021
"Rs. 100 OFF",497,0.9,3120
"32% OFF",440,1.65,8200
"27% OFF",433,0.88,6920
"Rs. 400 OFF",432,1.19,11789
"Rs. 1200 OFF",419,0.85,4490
"Rs. 1300 OFF",405,1.09,2525
" 50 % OFF",397,2.05,11234
" 45 % OFF",336,3.31,24476
"11% OFF",320,1.09,2130
"26% OFF",303,1.29,5492
"85% OFF",298,0.88,2482
"8% OFF",284,0.67,3608
"24% OFF",242,1.45,4381
"Rs. 1400 OFF",232,1.34,3391
"Rs. 1700 OFF",225,0.39,548
"Rs. 3300 OFF",220,0.25,101
"7% OFF",214,0.94,2214
"Rs. 1250 OFF",212,0.6,1140
"17% OFF",210,1.14,4104
"Rs. 1500 OFF",210,0.75,552
"Rs. 750 OFF",208,0.99,1829
"22% OFF",202,1.82,3125
"Rs. 1600 OFF",194,0.61,1232
"Rs. 3500 OFF",187,0.17,73
"Rs. 550 OFF",185,0.52,1556
"84% OFF",181,0.85,707
"Rs. 650 OFF",172,1.2,2233
"Rs. 250 OFF",170,1.81,3807
"Rs. 450 OFF",170,0.56,1342
"19% OFF",165,1.78,4333
"Rs. 10 OFF",155,1.3,1594
"Rs. 350 OFF",146,1.68,2225
"90% OFF",140,0.13,72
"Rs. 1150 OFF",139,1.16,1572
"3% OFF",138,2.56,4160
"Rs. 850 OFF",138,0.77,704
"Rs. 3000 OFF",138,0.71,198
"Rs. 3200 OFF",134,0.1,14
"14% OFF",132,0.95,2478
"Rs. 150 OFF",128,0.89,872
"13% OFF",116,1.17,1975
"9% OFF",115,2.14,4237
"Rs. 1650 OFF",115,0.15,68
"Rs. 1350 OFF",108,0.59,885
"18% OFF",104,1.6,3530
"4% OFF",98,0.78,1489
"Rs. 33 OFF",98,2.09,1179
